"user_id","first_name","last_name","date_start","date_end","ctc","net_pay","gross_pay","data_salary_basic_rate","data_salary_basic_type","currency","status","created_at"
"83884","","",2022-05-01,2022-05-31,2988965.0,2988965.0,2988965.0,3000000,monthly,IDR,approved,2022-06-10 07:47:06.000
"83902","","",2022-05-01,2022-05-31,2722894.0,2722894.0,2722894.0,2810000,monthly,IDR,approved,2022-06-10 07:51:37.000
"88348","","",2022-05-01,2022-05-31,2632856.74,2632856.74,2632856.74,2620000,monthly,IDR,approved,2022-06-10 07:54:37.000
"88357","","",2022-05-01,2022-05-31,1807882.74,1807882.74,1807882.74,1920000,monthly,IDR,approved,2022-06-10 07:57:13.000
"83888","","",2022-05-01,2022-05-31,1824397.74,1824397.74,1824397.74,1920000,monthly,IDR,approved,2022-06-10 07:57:31.000
"74465","","",2022-05-01,2022-05-31,1087684.0,1087684.0,1087684.0,45000,daily,IDR,approved,2022-06-10 07:58:13.000
"74639","","",2022-05-01,2022-05-31,640000.0,640000.0,640000.0,40000,daily,IDR,approved,2022-06-10 07:59:00.000
"74054","","",2022-05-01,2022-05-31,1090835.0,1090835.0,1090835.0,45000,daily,IDR,approved,2022-06-10 07:59:14.000
"90377","","",2022-05-01,2022-05-31,1895000.0,1895000.0,1895000.0,1500000,monthly,IDR,approved,2022-06-10 08:00:55.000
"90711","","",2022-05-01,2022-05-31,1092935.0,1092935.0,1092935.0,65000,daily,IDR,approved,2022-06-10 08:02:58.000
"92930","","",2022-05-01,2022-05-31,825000.0,825000.0,825000.0,55000,daily,IDR,approved,2022-06-10 08:05:32.000
"120666","","",2022-06-01,2022-06-30,2538494.0,2538494.0,2538494.0,2500000,monthly,IDR,approved,2022-06-10 08:08:48.000
