"type","dates","time_start","time_end","timezone","time_planned","break_time","leave_type","user_id"
work,2023-07-11,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2022-02-11,08:00:00,17:00:00,+08:00,32400,0,not specified,"83902"
free,2022-02-24,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2022-01-10,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146182"
free,2022-09-01,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2022-10-20,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2023-09-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-01-27,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-05-08,15:00:00,22:00:00,+08:00,25200,0,not specified,"120694"
work,2022-12-05,08:00:00,17:00:00,+08:00,32400,0,not specified,"90377"
work,2022-10-12,08:00:00,17:00:00,+08:00,32400,0,not specified,"83902"
work,2023-09-12,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2022-01-29,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
free,2022-02-26,07:00:00,06:59:00,+08:00,7200,0,not specified,"84509"
work,2022-09-19,08:00:00,18:00:00,+08:00,36000,0,not specified,"75218"
work,2021-12-27,15:00:00,22:00:00,+08:00,25200,0,not specified,"83884"
work,2022-01-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2021-11-30,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2021-11-08,15:00:00,22:00:00,+08:00,25200,0,not specified,"74465"
work,2022-01-09,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2022-01-16,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2022-01-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2022-03-08,15:00:00,22:00:00,+08:00,25200,0,not specified,"90710"
work,2022-08-14,08:00:00,15:00:00,+08:00,25200,0,not specified,"79738"
work,2022-06-29,08:00:00,15:00:00,+08:00,25200,0,not specified,"74465"
work,2022-02-26,15:00:00,22:00:00,+08:00,25200,0,not specified,"91338"
free,2022-03-06,09:00:00,08:59:00,+08:00,7200,0,not specified,"74053"
work,2022-02-16,15:00:00,22:00:00,+08:00,25140,60,not specified,"74050"
work,2021-11-27,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2022-11-12,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2022-10-30,08:00:00,15:00:00,+08:00,25200,0,not specified,"79765"
work,2022-03-08,15:00:00,22:00:00,+08:00,25200,0,not specified,"83885"
work,2021-11-02,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146182"
work,2023-05-02,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2022-12-30,08:00:00,15:00:00,+08:00,25200,0,not specified,"74049"
work,2021-12-09,08:00:00,15:00:00,+08:00,25200,0,not specified,"74050"
free,2022-12-08,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2023-08-27,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-12-05,08:00:00,17:00:00,+08:00,32400,0,not specified,"155509"
work,2022-07-29,08:00:00,15:00:00,+08:00,25200,0,not specified,"83902"
work,2022-05-14,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-03-03,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-07-01,17:00:00,22:00:00,+08:00,18000,0,not specified,"74639"
work,2022-01-26,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-01-19,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146182"
work,2022-07-13,08:00:00,17:00:00,+08:00,32400,0,not specified,"83902"
free,2022-04-15,09:00:00,08:59:00,+08:00,7200,0,not specified,"74053"
work,2023-04-26,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2023-02-10,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-08-02,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2022-04-14,15:00:00,22:00:00,+08:00,25200,0,not specified,"90711"
work,2022-04-04,08:00:00,17:00:00,+08:00,32400,0,not specified,"88348"
work,2023-07-14,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2022-09-28,15:00:00,22:00:00,+08:00,21600,3600,not specified,"83884"
work,2022-08-13,08:00:00,15:00:00,+08:00,25200,0,not specified,"74049"
work,2022-05-29,08:00:00,15:00:00,+08:00,25200,0,not specified,"83885"
work,2021-10-11,08:00:00,15:00:00,+08:00,25200,0,not specified,"83884"
work,2021-12-24,08:00:00,15:00:00,+08:00,25200,0,not specified,"74052"
work,2022-07-09,08:00:00,13:00:00,+08:00,18000,0,not specified,"88347"
work,2022-08-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-08-12,15:00:00,22:00:00,+08:00,21600,3600,not specified,"83884"
work,2023-07-23,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2023-09-13,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2022-01-05,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157916"
work,2022-03-19,08:00:00,13:00:00,+08:00,18000,0,not specified,"88348"
work,2022-09-01,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
free,2022-10-18,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
work,2023-10-22,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-10-06,15:00:00,22:00:00,+08:00,25200,0,not specified,"74054"
free,2022-03-01,07:00:00,06:59:00,+08:00,21600,0,not specified,"83902"
work,2022-01-07,08:00:00,15:00:00,+08:00,25140,60,not specified,"74052"
work,2023-02-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2022-03-23,08:00:00,15:00:00,+08:00,25200,0,not specified,"79738"
work,2023-10-16,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-07-17,08:00:00,15:00:00,+08:00,25200,0,not specified,"74052"
work,2021-12-31,08:00:00,15:00:00,+08:00,21600,3600,not specified,"74461"
work,2022-01-22,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146182"
work,2022-06-23,17:00:00,22:00:00,+08:00,18000,0,not specified,"74639"
work,2022-07-18,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2022-09-07,08:00:00,17:00:00,+08:00,32400,0,not specified,"128325"
work,2022-07-07,08:00:00,15:00:00,+08:00,25140,60,not specified,"74054"
work,2022-06-14,08:00:00,17:00:00,+08:00,32400,0,not specified,"88357"
work,2022-05-31,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-09-06,08:00:00,17:00:00,+08:00,32400,0,not specified,"128325"
work,2022-04-06,08:00:00,17:00:00,+08:00,32400,0,not specified,"88348"
work,2023-01-18,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
